bp0,bp1,id,generation,length,diameter,name,InArea,OutArea,InPeri,OutPeri
25,46,49,4,13.556,4.48999,LB1,15.8336,43.6954,14.6415,23.7702
25,47,50,4,13.3425,4.15575,LB2,13.564,39.8582,13.5768,22.7369
13,26,26,3,5.30552,6.23237,LB3,30.5068,59.2686,19.5796,27.2909
14,27,27,4,9.74427,3.24367,LB4,8.26347,25.9107,10.9413,18.6112
14,28,28,4,17.8837,3.50169,LB5,9.63044,28.0392,11.7908,19.6199
6,11,10,3,7.7058,13.45,LB6,142.081,255.82,51.4203,64.8098
12,23,23,4,18.1777,4.69357,LB8,17.302,46.1694,15.341,24.4736
44,78,90,4,18.3446,4.76471,LB9,17.8305,45.857,16.4002,25.0771
44,77,89,4,14.8518,4.56454,LB10,16.3638,42.831,15.4388,24.1339
10,18,18,3,15.9938,4.3386,RB1,14.7839,41.1758,14.7516,23.5368
10,19,19,3,12.0587,5.40483,RB2,22.9432,54.5002,17.3848,26.5229
10,20,20,3,15.3663,6.08505,RB3,29.0816,63.6816,19.3565,28.5205
8,15,14,4,9.41043,4.82485,RB4,18.2834,46.7139,15.4952,24.4553
8,16,15,4,18.2744,4.82594,RB5,18.2917,46.6818,15.5666,24.525
9,31,16,3,9.41086,5.73322,RB6,25.8159,59.5353,18.8744,27.949
17,222,34,4,19.276,3.66576,RB7,10.554,34.2552,12.1065,21.1355
229,230,115,5,13.2149,4.33558,RB8,14.7633,41.4054,14.2645,23.2565
247,250,208,5,15.7068,3.52748,RB9,9.7728,32.3618,11.4521,20.538
247,251,209,5,19.034,4.01732,RB10,12.6754,38.0624,13.2779,22.3118
