x1,y1,z1
230.371178,211.91414,113
237.890712,212.597734,125
231.054772,196.875072,129.5
235.156336,204.394606,152
239.2579,206.445388,169.5
217.382892,234.472742,152
230.371178,228.320396,173
229.687584,235.83993,171
227.636802,247.461028,180
118.945356,209.863358,119.5
117.578168,219.433674,132
117.578168,200.976636,134.5
116.21098,197.558666,178
118.261762,194.140696,175
129.199266,223.535238,166
128.515672,215.33211,183.5
112.79301,224.218832,187
114.843792,234.472742,194.5
123.04692,233.105554,191
