bp0,bp1,id,generation,length,diameter,name,InArea,OutArea,InPeri,OutPeri
24,39,67,4,16.7381,4.89783,LB1,18.8407,50.3365,15.7423,25.539
24,40,68,4,9.78281,5.52969,LB2,24.0155,64.5043,17.6613,29.3639
15,23,35,3,11.3017,7.18053,LB3,40.4951,100.197,23.313,36.065
16,25,37,4,11.5309,5.04864,LB4,20.0188,57.1342,16.4635,27.9048
16,26,38,4,21.2183,4.2302,LB5,14.0544,42.6415,14.2113,24.0952
5,393,8,3,13.3189,5.98327,LB6,28.1169,74.9261,19.9454,31.6369
8,429,17,4,17.2257,4.81109,LB8,18.1793,56.8456,15.5105,27.4446
14,22,32,4,10.0452,5.25752,LB9,21.7096,66.691,16.9073,29.441
14,21,31,4,15.5795,5.99319,LB10,28.2102,76.9544,19.2032,31.4923
12,176,24,3,15.2583,4.70288,RB1,17.3707,51.7896,15.3629,26.2741
7,13,13,3,8.08404,6.15352,RB2,29.7397,81.5828,19.8004,32.5007
12,18,25,3,10.5502,6.43463,RB3,32.519,83.9501,20.5605,32.7856
10,197,21,4,9.42752,4.97282,RB4,19.4221,62.4315,15.8758,28.6352
10,17,20,4,7.53722,6.10877,RB5,29.3088,79.308,19.6518,32.2358
11,28,22,3,12.0647,4.63839,RB6,16.8976,57.6254,15.8467,27.6993
216,218,44,4,16.4041,5.19073,RB7,21.1615,66.6271,16.8118,29.3429
234,236,148,5,12.2356,5.23608,RB8,21.5329,66.6473,16.8337,29.2447
235,317,218,5,11.0796,4.95173,RB9,19.2577,62.8637,16.0423,28.5271
235,243,219,5,17.5019,6.10498,RB10,29.2724,79.4348,19.679,32.1711
