Variables= x1	y1	z1	bp0	bp1	id	generation	length	diameter	name	InArea	OutArea	InPeri	OutPeri
Zone T= NZL00407_IN0_Central_1D_SegAwyCrd 
198.2421	148.964778	104	326	327	46	4	11.2602	4.7625	LB1	17.8139	46.2329	15.344	24.4409
203.90616	155.76165	107.5	326	386	45	4	10.0856	3.41127	LB2	9.1395	28.4506	10.9402	19.1944
202.773348	144.43353	119.5	12	21	22	3	9.05894	5.46994	LB3	23.4993	55.8473	17.6074	26.8403
209.003814	131.972598	137	11	402	20	4	13.2723	3.63226	LB4	10.362	34.2184	11.9091	21.1019
209.003814	130.839786	144	11	20	21	4	16.4211	3.33191	LB5	8.71922	26.0884	11.4012	18.9122
185.214762	171.621018	132	7	13	12	3	12.415	6.93018	LB6	37.7206	80.5177	22.1263	32.0833
206.73819	161.42571	158.5	14	24	26	4	14.4054	4.99797	LB8	19.619	50.0891	16.1207	25.3574
207.304596	168.788988	158	25	45	53	4	10.5255	4.76564	LB9	17.8374	46.5654	15.2155	24.3689
199.941318	175.58586	160	25	195	54	4	8.911	5.78744	LB10	26.3065	61.2658	18.5243	28.0364
108.183546	147.26556	99	9	17	16	3	11.5	4.45232	RB1	15.5691	43.4835	14.363	23.6143
106.484328	155.195244	103	9	18	17	3	9.00127	4.35478	RB2	14.8944	39.7625	14.154	22.8526
105.917922	139.335876	113	5	8	8	3	12.1257	6.42536	RB3	32.4254	74.0762	20.4624	30.7421
99.12105	130.839786	148	179	180	157	4	9.77958	4.12452	RB4	13.3609	36.557	13.2467	21.7734
107.61714	128.007756	148	179	295	158	4	9.6013	4.8622	RB5	18.5676	48.5117	15.7026	24.9725
113.847606	159.726492	134.5	10	19	19	3	8.70218	5.44209	RB6	23.2606	58.897	17.7507	27.6462
113.847606	154.628838	152	32	58	72	4	9.65789	4.65092	RB7	16.989	44.9281	14.9794	24.0574
93.45699	159.160086	152	57	94	120	5	12.6468	4.59557	RB8	16.587	43.0355	15.0954	23.8657
92.890584	171.054612	157	93	120	159	5	10.203	4.00819	RB9	12.6179	35.2127	12.9285	21.3331
100.820268	170.488206	159.5	93	215	160	5	6.94164	4.83665	RB10	18.373	47.0527	15.6218	24.8562
